                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4837,                 3.6479,                 4.2604,                0.00296,                0.04878,                0.00161,                0.00046,                 3.9676,                 3.6457,                 4.1605,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.5619,                 3.5873,                 4.2955,                0.00296,                0.04878,                0.00162,                0.00056,                 3.9683,                 3.6456,                 4.1595,             0.00017822,             0.00017822,             0.00017822
                      3,                  3.755,                 3.4792,                 4.2168,                0.00259,                0.04268,                0.00143,                0.00045,                 3.9695,                 3.6498,                 4.1583,             0.00027446,             0.00027446,             0.00027446
                      4,                 3.1336,                 3.2999,                 4.2172,                0.00333,                0.05488,                0.00183,                0.00049,                 3.9722,                  3.654,                 4.1575,             0.00036871,             0.00036871,             0.00036871
                      5,                 3.5787,                  3.193,                 4.1308,                0.00333,                0.05488,                0.00185,                0.00051,                 3.9771,                 3.6665,                 4.1573,             0.00046099,             0.00046099,             0.00046099
                      6,                 3.2363,                 3.0553,                 4.1077,                0.00296,                0.04878,                0.00162,                0.00044,                 3.9816,                 3.6792,                 4.1589,             0.00055129,             0.00055129,             0.00055129
                      7,                 3.4054,                 3.0071,                 4.0191,                0.00296,                0.04878,                0.00161,                0.00049,                 3.9913,                  3.708,                 4.1654,             0.00063961,             0.00063961,             0.00063961
                      8,                 3.3181,                 2.9578,                   4.01,                0.00296,                0.04878,                0.00161,                0.00051,                 4.0027,                 3.7474,                 4.1748,             0.00072595,             0.00072595,             0.00072595
                      9,                 3.3208,                 2.8801,                 3.8453,                0.00296,                0.04878,                0.00163,                 0.0005,                 4.0199,                 3.8325,                  4.199,              0.0008103,              0.0008103,              0.0008103
                     10,                 3.2702,                 3.0196,                 3.8027,                0.00296,                0.04878,                0.00161,                 0.0005,                 4.0271,                 3.8829,                 4.2195,             0.00089268,             0.00089268,             0.00089268
                     11,                 3.1689,                 2.8217,                 3.6544,                0.00296,                0.04878,                0.00161,                0.00048,                  4.048,                 3.9888,                 4.2623,             0.00097308,             0.00097308,             0.00097308
                     12,                 3.2108,                 2.8577,                 3.6146,                0.00296,                0.04878,                0.00165,                0.00052,                 4.0819,                 4.0474,                 4.3049,              0.0010515,              0.0010515,              0.0010515
                     13,                 3.1157,                 2.8031,                 3.5163,                0.00296,                0.04878,                0.00165,                0.00053,                 4.0974,                 4.0341,                 4.3151,              0.0011279,              0.0011279,              0.0011279
                     14,                 3.1652,                 2.7642,                 3.4441,                0.00296,                0.04878,                0.00168,                0.00047,                 4.1241,                 4.0087,                 4.3484,              0.0012024,              0.0012024,              0.0012024
                     15,                 3.0441,                 2.9393,                 3.4994,                0.00296,                0.04878,                0.00348,                0.00076,                 4.1409,                 4.0477,                 4.3963,              0.0012749,              0.0012749,              0.0012749
                     16,                 3.1104,                 2.8233,                 3.3646,                0.00222,                0.03659,                0.00404,                0.00086,                 4.1562,                   3.96,                 4.4012,              0.0013454,              0.0013454,              0.0013454
                     17,                 3.0729,                 2.7413,                 3.3087,                0.00259,                0.04268,                0.00165,                0.00056,                 4.2129,                 3.9334,                 4.4757,              0.0014139,              0.0014139,              0.0014139
                     18,                 3.1058,                 2.6322,                 3.1034,                0.00296,                0.04878,                0.00173,                0.00064,                  4.187,                 4.1716,                 4.5607,              0.0014804,              0.0014804,              0.0014804
                     19,                 3.0205,                 2.9018,                 3.3086,                 0.0037,                0.06098,                0.00236,                0.00082,                 4.2156,                 4.1935,                 4.6319,               0.001545,               0.001545,               0.001545
                     20,                 3.0425,                 2.7378,                 3.0781,                0.00328,                0.01829,                0.00175,                0.00052,                 4.2714,                 4.5749,                 4.7161,              0.0016076,              0.0016076,              0.0016076
                     21,                 2.9485,                 2.8192,                 3.1925,                0.00315,                0.01829,                0.00163,                0.00054,                 4.2458,                 4.7465,                 4.6814,               0.001604,               0.001604,               0.001604
                     22,                 3.0309,                 2.9033,                 3.2154,                0.00439,                0.03049,                0.00229,                0.00072,                 4.2681,                 4.6053,                 4.6166,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.8782,                 2.7274,                 3.0524,                0.00535,                0.08537,                0.00362,                0.00123,                 4.2503,                  4.292,                 4.4792,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.9018,                 2.8137,                 3.1592,                0.00482,                0.06707,                0.00272,                0.00093,                 4.2451,                 4.3394,                 4.5312,              0.0015446,              0.0015446,              0.0015446
                     25,                  2.867,                 2.7581,                 3.1153,                0.00449,                0.05488,                0.00248,                0.00092,                 4.1511,                 4.5487,                  4.585,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.9891,                 2.6807,                 2.9344,                0.00797,                0.09146,                0.00526,                0.00215,                  4.095,                 4.3856,                  4.455,               0.001505,               0.001505,               0.001505
                     27,                  2.884,                 2.6256,                 2.9132,                0.01034,                0.10366,                0.01368,                0.00525,                 3.9974,                 3.9362,                 4.2609,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.9355,                 2.5747,                   2.93,                0.06786,                0.08537,                0.01823,                0.00574,                 3.6664,                 3.4001,                 3.8525,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.9276,                 2.5458,                 2.8903,                0.05623,                0.07317,                 0.0169,                0.00539,                 3.5396,                 3.2871,                 3.7421,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.8056,                 2.8651,                 3.1101,                0.04861,                0.03584,                0.02127,                0.00631,                 3.3758,                 3.1405,                 3.5543,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.7937,                   2.58,                 2.8384,                0.09305,                0.07927,                0.02993,                0.00849,                 3.2062,                 2.9404,                  3.348,               0.001406,               0.001406,               0.001406
                     32,                 2.8544,                 2.5719,                 2.8392,                0.06793,                0.11585,                0.04933,                0.01284,                 3.0181,                 2.7993,                 2.9474,              0.0013862,              0.0013862,              0.0013862
                     33,                  2.772,                 2.5623,                 2.8287,                0.12375,                0.15244,                0.07683,                0.02522,                 3.0474,                  3.253,                 2.9849,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.9391,                 2.6771,                 2.8954,                0.19389,                0.09756,                0.09147,                0.03115,                 3.0816,                 3.3197,                 3.0537,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.7342,                 2.4769,                 2.8406,                0.19673,                0.14024,                0.10247,                0.03203,                 3.0276,                 2.8162,                 2.9881,              0.0013268,              0.0013268,              0.0013268
                     36,                  2.894,                 2.4283,                 2.7724,                0.13802,                0.15244,                0.07541,                0.02412,                 3.0158,                 2.5749,                 2.8934,               0.001307,               0.001307,               0.001307
                     37,                 2.8087,                 2.4968,                 2.8637,                0.09904,                0.17073,                0.05361,                0.01387,                 3.1897,                 2.7242,                 3.0528,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.7886,                 2.3182,                  2.695,                0.11283,                0.14024,                0.04585,                0.01478,                 3.1641,                 2.7515,                  3.014,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.8379,                 2.4369,                 2.7521,                0.16839,                0.16463,                0.09201,                 0.0297,                  2.954,                 2.7375,                 2.7978,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.7136,                 2.4247,                  2.746,                0.15689,                0.21341,                0.09914,                0.03127,                 2.6385,                 2.6395,                 2.4928,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.7722,                 2.4011,                 2.6957,                0.26044,                0.27439,                0.17074,                0.05571,                 2.4952,                  2.417,                 2.4688,               0.001208,               0.001208,               0.001208
                     42,                 2.6507,                  2.502,                 2.8056,                0.28466,                0.26829,                0.18565,                0.05518,                 2.5966,                  2.453,                 2.5808,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.6223,                 2.3721,                 2.6943,                0.28952,                 0.2439,                0.15985,                0.04791,                 2.6391,                 2.4287,                 2.6175,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.6653,                 2.3847,                 2.7968,                0.25104,                0.18902,                0.14614,                0.04091,                 2.7237,                 2.4616,                 2.6608,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.6044,                 2.1902,                 2.6009,                0.34505,                0.23772,                0.18339,                0.05498,                 2.6761,                 2.3386,                  2.608,              0.0011288,              0.0011288,              0.0011288
                     46,                  2.567,                  2.392,                 2.7918,                0.26202,                 0.2622,                0.18349,                0.06191,                 2.7069,                 2.2981,                 2.6129,               0.001109,               0.001109,               0.001109
                     47,                 2.7204,                 2.2864,                 2.5997,                0.23576,                0.22561,                0.15667,                0.05213,                 2.8797,                 2.3573,                 2.7317,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.5909,                 2.1598,                 2.4307,                0.23178,                 0.2622,                 0.1917,                0.06481,                 2.8516,                 2.3102,                  2.647,              0.0010694,              0.0010694,              0.0010694
                     49,                  2.711,                 2.3093,                 2.5345,                0.35253,                0.26829,                0.21321,                0.07447,                 2.5782,                 2.2583,                 2.4277,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.5298,                 1.9916,                 2.3543,                0.37738,                0.27439,                0.23218,                0.07215,                 2.5253,                 2.3348,                 2.3859,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.6934,                 2.2527,                 2.5621,                0.42554,                0.24844,                0.23548,                0.07788,                 2.5299,                 2.4364,                 2.3935,                0.00101,                0.00101,                0.00101
                     52,                 2.6736,                 2.2475,                 2.5808,                 0.4948,                0.30488,                0.30345,                0.10691,                 2.5186,                 2.2261,                 2.4123,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.6654,                 2.3531,                 2.6086,                0.43022,                0.29878,                0.28389,                0.09809,                 2.4656,                 2.1364,                 2.3937,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.5268,                 2.2068,                 2.5676,                0.30812,                0.32858,                0.25953,                 0.0947,                 2.3964,                  2.123,                  2.351,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.5144,                 2.0584,                 2.3627,                0.27496,                0.37805,                 0.2635,                0.09187,                 2.4022,                 2.1223,                 2.3582,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.4362,                 2.0755,                 2.4218,                0.36761,                0.33674,                0.28966,                0.09934,                 2.4671,                 2.0389,                 2.3702,               0.000911,               0.000911,               0.000911
                     57,                 2.4912,                 2.0951,                 2.5469,                0.37212,                0.31441,                0.26366,                0.09147,                  2.585,                 2.0214,                 2.4481,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.4816,                 2.0039,                 2.4732,                0.46129,                0.30488,                0.29021,                0.09791,                  2.618,                 1.9664,                 2.4479,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.5184,                 2.0435,                 2.4935,                0.57752,                0.35976,                0.40458,                 0.1356,                 2.4655,                 1.8408,                 2.3378,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.4424,                 1.9749,                 2.4625,                0.60443,                0.32927,                0.41902,                 0.1509,                 2.2862,                 1.8204,                 2.2185,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.4137,                 1.9377,                 2.4395,                0.58835,                0.31707,                0.39706,                0.14832,                 2.2833,                 1.8293,                  2.219,               0.000812,               0.000812,               0.000812
                     62,                 2.4087,                 1.8615,                 2.4196,                0.47877,                0.44512,                0.43584,                0.14919,                 2.3075,                 1.8261,                 2.2414,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.4303,                 1.9772,                 2.3225,                0.58666,                0.39634,                0.44389,                0.14567,                 2.3562,                 1.8647,                 2.2753,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.5046,                 1.9499,                 2.3198,                0.42741,                0.54268,                0.45115,                0.15894,                 2.3002,                  1.858,                 2.1854,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.4333,                 2.0442,                 2.4193,                0.50319,                0.52439,                0.46061,                0.16712,                 2.2623,                   1.82,                 2.1461,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.3767,                 1.9099,                 2.2294,                0.51143,                0.53049,                0.50842,                0.19648,                 2.1941,                 1.7493,                 2.1021,               0.000713,               0.000713,               0.000713
                     67,                 2.4088,                 1.9156,                 2.3442,                0.50345,                0.54406,                0.51665,                 0.2076,                 2.1623,                 1.7244,                 2.0963,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.2853,                 1.8131,                 2.2274,                0.58181,                0.56098,                0.55513,                0.22674,                 2.1475,                   1.66,                 2.0856,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.3624,                 1.8081,                 2.2386,                0.61306,                0.53049,                0.52688,                0.20199,                 2.1718,                 1.7049,                 2.1108,              0.0006536,              0.0006536,              0.0006536
                     70,                  2.432,                 1.8644,                 2.3605,                0.62786,                0.54524,                 0.5395,                0.19047,                 2.2025,                 1.7419,                 2.1345,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.2752,                 1.7251,                 2.2168,                0.62794,                0.53049,                0.55734,                0.21952,                 2.1562,                 1.6555,                 2.0991,               0.000614,               0.000614,               0.000614
                     72,                 2.3166,                 1.7686,                 2.3208,                0.63753,                0.52439,                0.57442,                 0.2189,                 2.2361,                 1.6278,                 2.1321,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.2545,                 1.6393,                 2.2036,                0.63598,                0.52439,                0.56466,                0.22675,                 2.1782,                 1.6316,                 2.1102,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.2886,                 1.7009,                 2.2193,                0.63794,                 0.4939,                0.58515,                0.22782,                 2.1106,                 1.6465,                 2.0811,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.3057,                 1.6784,                  2.222,                0.66489,                0.49605,                 0.5977,                0.22723,                 2.0969,                 1.6414,                 2.0815,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.2854,                 1.9419,                 2.3578,                0.80012,                0.46375,                0.59152,                0.23945,                 2.1245,                 1.6166,                 2.0846,               0.000515,               0.000515,               0.000515
                     77,                 2.2687,                 1.7135,                 2.2548,                0.79259,                0.46341,                0.56609,                0.22739,                 2.1885,                 1.6317,                 2.1137,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.2089,                 1.6968,                 2.2166,                0.73497,                0.48171,                0.57232,                0.22935,                 2.2023,                 1.6102,                 2.1149,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.2279,                 1.6248,                 2.1229,                0.70081,                0.51829,                0.59805,                0.24321,                 2.1467,                 1.5631,                  2.082,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.1653,                 1.5954,                 2.1576,                0.62288,                0.54878,                0.58663,                0.24665,                 2.1269,                 1.5078,                 2.0772,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.1096,                 1.6519,                 2.1656,                 0.6954,                0.51829,                0.58762,                0.25472,                  2.111,                  1.489,                 2.0734,               0.000416,               0.000416,               0.000416
                     82,                 2.0963,                 1.4959,                 1.9259,                0.65372,                0.55254,                0.60946,                0.25587,                 2.0794,                 1.4833,                  2.064,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.0793,                 1.4978,                 2.0812,                0.64777,                0.54268,                0.61375,                0.25482,                 2.0603,                 1.4853,                 2.0546,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.1841,                 1.7738,                 2.2929,                0.68089,                0.53659,                 0.6315,                0.27236,                 2.0693,                 1.4727,                 2.0497,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.1508,                 1.7222,                 2.2304,                0.66845,                0.52862,                0.63101,                0.27186,                 2.1176,                 1.4861,                  2.066,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.1824,                 1.5766,                 2.0905,                0.69998,                0.54062,                0.64957,                0.27945,                 2.1117,                 1.5038,                 2.0565,               0.000317,               0.000317,               0.000317
                     87,                 2.1184,                 1.6473,                 2.1792,                0.66327,                0.54878,                0.64144,                0.27544,                 2.0695,                 1.5274,                 2.0374,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.1618,                 1.7298,                 2.2396,                0.67478,                0.56098,                0.61588,                0.26598,                 2.0603,                  1.567,                 2.0383,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.1372,                  1.709,                 2.1995,                0.69798,                0.54878,                0.61446,                  0.266,                 2.0601,                  1.562,                 2.0409,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.1783,                 1.7357,                 2.2337,                0.66655,                0.56069,                0.60994,                0.26055,                 2.0749,                 1.5678,                 2.0461,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.9312,                 1.8623,                 2.1331,                0.70237,                0.53241,                 0.6075,                0.25245,                 2.0779,                 1.5848,                 2.0517,               0.000218,               0.000218,               0.000218
                     92,                 1.9393,                 1.9152,                 2.1858,                0.65976,                0.54389,                0.60214,                0.25028,                 2.0838,                 1.5602,                 2.0467,              0.0001982,              0.0001982,              0.0001982
                     93,                  2.022,                 1.8052,                 2.0186,                0.64884,                0.56098,                0.57393,                0.24308,                  2.092,                 1.5754,                 2.0529,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.8815,                  1.782,                 2.0346,                0.64734,                0.54843,                0.56474,                0.23869,                  2.095,                 1.6003,                 2.0494,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.8498,                 1.6228,                 1.9923,                0.64708,                0.53659,                 0.5682,                0.23779,                 2.0943,                 1.6179,                 2.0401,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.9222,                  1.593,                 2.0469,                0.63711,                0.57927,                0.61982,                0.26429,                  2.063,                 1.5964,                  2.004,               0.000119,               0.000119,               0.000119
                     97,                 1.8581,                 1.6672,                  1.982,                0.64894,                0.57927,                0.64753,                0.27257,                 2.0438,                 1.5873,                 1.9896,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.8442,                 1.6112,                 1.9633,                0.65703,                0.57317,                0.66092,                0.27794,                 2.0369,                 1.5839,                 1.9837,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.8924,                 1.5953,                 2.0506,                0.67452,                0.56707,                0.66384,                0.28489,                 2.0312,                 1.5775,                 1.9771,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.8086,                 1.6542,                 1.9835,                 0.6931,                0.56707,                0.66882,                0.28802,                 2.0237,                 1.5568,                 1.9711,               3.98e-05,               3.98e-05,               3.98e-05
